Index,Article_Sentiment,Num_Sentences
4127,0.13406808035714285,7
4129,0.4296875,2
4130,-0.5965169270833334,3
4131,-0.46435546875,4
4133,0.0,6
4134,0.15633138020833334,6
4135,0.4044189453125,4
4136,0.71650390625,5
4141,0.24641927083333334,6
4143,0.465576171875,2
4146,0.70361328125,4
4149,0.93896484375,3
4151,0.13448660714285715,7
4153,0.283203125,2
4157,0.13441685267857142,7
4160,-0.3680013020833333,6
4161,0.79541015625,1
4164,0.93603515625,3
4166,0.4521484375,2
4168,0.13413783482142858,7
4170,0.46484375,2
4171,0.464111328125,2
4172,-0.61474609375,3
4175,0.285791015625,5
4177,0.93505859375,3
4178,0.6277669270833334,3
4179,0.765380859375,2
4180,-0.29443359375,6
4183,-0.2236328125,2
4184,-0.0047607421875,4
4185,0.62841796875,3
4187,0.630859375,3
4188,-0.61474609375,3
4189,-0.448486328125,2
4195,0.4730224609375,4
4199,0.8896484375,2
4200,-0.3238932291666667,3
4201,0.020926339285714284,7
4204,0.1880859375,5
4206,-0.6484375,3
4208,-0.9189453125,2
4210,-0.0069580078125,4
4211,-0.012858072916666666,3
4213,0.1259765625,4
4216,-0.13881138392857142,7
4219,-0.6487630208333334,3
4220,-0.3260091145833333,3
4221,0.47900390625,3
4222,0.15397135416666666,6
4225,0.9344075520833334,3
4226,0.917236328125,2
4227,0.32958984375,3
4231,-0.23974609375,5
4232,0.09220377604166667,6
4240,0.15462239583333334,6
4242,-0.973876953125,2
4243,-0.7288818359375,4
4244,-0.97265625,3
4245,-0.9718424479166666,3
4246,-0.1943359375,5
4248,-0.193359375,5
4249,-0.557861328125,4
4250,-0.57928466796875,4
4251,-0.1392822265625,4
4252,-0.003627232142857143,7
4253,0.417724609375,2
4254,0.417724609375,2
4256,0.417724609375,2
4259,0.15657552083333334,3
4260,0.4407958984375,4
4262,0.4598795572916667,3
4263,-0.3492838541666667,3
4268,0.2931315104166667,3
4269,0.26318359375,4
4274,-0.907958984375,2
4277,0.08330078125,5
4282,0.22318522135416666,6
4286,0.0067138671875,4
4288,-0.9716796875,3
4289,-0.485595703125,2
4292,0.6947021484375,4
4293,0.13834635416666666,3
4294,0.05671037946428571,7
4295,0.924560546875,2
4296,0.9423828125,2
4298,-0.02138671875,5
4302,0.18818359375,5
4304,-0.9736328125,2
4305,-0.972900390625,2
4306,-0.8956705729166666,3
4310,0.15616861979166666,6
4313,0.6219075520833334,3
4316,0.6220703125,3
4318,0.75439453125,2
4323,0.45263671875,4
4324,0.6478271484375,4
4326,0.896240234375,2
4327,0.6881103515625,4
4328,0.15690104166666666,6
4329,0.5514322916666666,3
4332,0.8517252604166666,3
4336,0.4541015625,4
4337,-0.29833984375,3
4339,0.155517578125,6
4340,0.27685546875,4
4341,0.57763671875,3
4343,0.412353515625,4
4345,-0.16194661458333334,6
4346,-0.012369791666666666,3
4362,-0.48388671875,2
4364,-0.729736328125,4
4365,-0.00390625,7
4366,-0.6168619791666666,3
4367,-0.486328125,4
4368,0.46826171875,2
4369,0.3095703125,3
4373,0.93896484375,2
4376,0.898681640625,2
4377,0.60693359375,3
4380,0.46728515625,2
4381,0.45166015625,2
4383,0.918701171875,2
4384,0.6155598958333334,3
4390,-0.3243815104166667,3
4394,0.5797526041666666,3
4397,0.3395182291666667,3
4399,0.669677734375,3
4400,0.9287109375,3
4401,0.844970703125,2
4402,0.37744140625,4
4403,0.6223958333333334,3
4404,0.924560546875,2
4405,0.051676432291666664,6
4406,0.6276041666666666,3
4407,0.9326171875,2
4419,0.402587890625,2
4420,-0.6487630208333334,3
4426,-0.016764322916666668,3
4428,-0.16170247395833334,6
4430,-0.02685546875,2
4433,0.143310546875,4
4443,0.0,4
4463,0.701904296875,4
4464,0.40625,5
4475,-0.161865234375,6
4489,0.906494140625,2
4490,0.0755615234375,6
4495,0.873291015625,4
4496,0.13441685267857142,7
4497,-0.31171875,5
4504,0.0,5
4512,-0.627197265625,4
4513,-0.51898193359375,4
4514,0.0501708984375,4
4515,-0.26171875,3
4517,-0.180419921875,2
4524,0.6927490234375,4
4525,0.13420758928571427,7
4529,0.79931640625,3
4530,0.2556966145833333,3
4532,0.15625,6
4533,0.942138671875,2
4534,0.5916341145833334,3
4537,-0.0999755859375,4
4541,-0.6505533854166666,3
4545,-0.25703125,5
4546,-0.6486002604166666,3
4550,0.3154296875,6
4551,0.271484375,4
4558,0.0,4
4560,0.205810546875,6
4568,0.15657552083333334,6
4571,0.6956787109375,4
4572,-0.33046875,5
4574,0.8944091796875,4
4578,0.1880859375,5
4583,-0.1943359375,5
4585,0.3234049479166667,3
4586,-0.9451497395833334,3
4587,-0.16202799479166666,6
4593,0.04638671875,4
4598,0.0,4
4602,0.1025390625,5
4617,-0.70751953125,4
4630,-0.00927734375,3
4631,-0.1947265625,5
4637,-0.716796875,4
4639,-0.009765625,3
4640,0.576171875,3
4644,0.8333333333333334,3
4657,-0.265625,3
4658,-0.6487630208333334,3
